id_student,student_name,gender,region,highest_education,imd_band,age_band,disability,studied_credits,course,CGPA
258392,Beth Sandoval,F,West Midlands Region,Lower Than A Level,30-40%,0-35,N,60,Computer Science,3.32
258894,Anthony Davis,F,East Anglian Region,Lower Than A Level,70-80%,35-55,N,60,Medical,3.41
260355,Tina Huang,F,London Region,A Level or Equivalent,80-90%,35-55,N,60,Law,3.58
262011,Luis Osborne,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,N,60,Medical,3.38
262934,Mrs. Linda Barrera,F,North Western Region,A Level or Equivalent,30-40%,35-55,N,60,Theater,2.45
268073,Leslie Hodge,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N,90,Law,2.96
268733,Sharon Webb,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,180,Engineering,2.45
271251,Ian Patterson,M,Scotland,A Level or Equivalent,80-90%,35-55,N,60,Engineering,2.73
277880,Margaret Johnson,F,South East Region,A Level or Equivalent,60-70%,0-35,N,60,Engineering,3.66
279572,Kelly Kelly,M,London Region,Lower Than A Level,40-50%,0-35,N,60,Engineering,3.95
281022,Jose Jacobs,F,Scotland,A Level or Equivalent,30-40%,0-35,N,150,Business,2.01
281250,Bradley Rice,M,Wales,Lower Than A Level,70-80%,35-55,N,60,Engineering,3.82
281589,Samantha Black,M,North Western Region,HE Qualification,30-40%,0-35,N,60,Medical,3.17
282821,James Hernandez,M,South West Region,A Level or Equivalent,30-40%,35-55,N,60,Theater,2.06
286488,Cindy Reid,M,South East Region,A Level or Equivalent,90-100%,35-55,N,60,Literature,2.83
287548,Timothy Contreras,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,120,Computer Science,2.82
290201,Peter Hill,M,Wales,A Level or Equivalent,20-30%,0-35,N,60,Engineering,3.56
290757,Sarah Delgado,M,North Western Region,A Level or Equivalent,30-40%,0-35,N,60,Computer Science,3.18
291334,Joshua Lyons,M,South East Region,A Level or Equivalent,90-100%,35-55,N,60,Fine Arts,2.2
292923,Sarah Medina,F,South East Region,A Level or Equivalent,90-100%,35-55,N,180,Law,2.25
293699,Anthony Skinner,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,N,120,Medical,3.13
294570,Sandra Larson,M,South East Region,HE Qualification,90-100%,55<=,N,60,Medical,2.2
294594,Randall Brown,M,South East Region,A Level or Equivalent,90-100%,0-35,N,60,Medical,3.12
295741,Dr. Samuel Roberson,M,South East Region,A Level or Equivalent,40-50%,35-55,N,240,History,3.32
296332,Tracy Nguyen,M,South Region,Post Graduate Qualification,90-100%,55<=,N,60,Law,2.18
298696,Miss Amanda Thomas,F,South East Region,HE Qualification,80-90%,0-35,N,60,Engineering,4.0
300398,Jessica Parker,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,60,Business,3.26
302302,Heather Roman,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,N,60,Business,2.22
305152,Denise Johnson,M,North Western Region,A Level or Equivalent,70-80%,0-35,N,60,Business,3.65
305386,Jesse Hoffman,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,Y,120,Medical,2.23
305539,Sarah Taylor,F,Wales,Lower Than A Level,80-90%,0-35,N,120,Law,4.0
306107,Christina Perry,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,N,120,Engineering,3.32
306466,Amber Ramos,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,60,Law,2.52
306897,Robert Lynn,F,London Region,A Level or Equivalent,10-20,0-35,N,60,Medical,3.57
307061,David Gonzalez,F,East Midlands Region,HE Qualification,10-20,0-35,N,60,Medical,4.0
307866,Keith Campbell,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,60,Business,2.11
311917,Nicole Butler,M,South West Region,A Level or Equivalent,60-70%,55<=,N,120,Business,3.29
312537,Michael Hurst,M,South Region,Post Graduate Qualification,90-100%,55<=,N,60,Medical,2.65
312782,Philip Webb,M,South Region,A Level or Equivalent,90-100%,0-35,N,60,Law,3.39
318933,Robert Schmidt,F,East Anglian Region,HE Qualification,80-90%,0-35,N,120,Computer Science,2.2
319047,Michael Frazier,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,N,60,Law,3.47
321942,Megan Robinson,M,South Region,HE Qualification,90-100%,55<=,N,60,Graphic Design,3.62
324002,Tara Singh,M,East Anglian Region,HE Qualification,40-50%,35-55,N,60,Engineering,3.48
324084,Jose Koch,F,South West Region,A Level or Equivalent,10-20,35-55,N,60,Business,2.19
324282,Alexis Stout,M,South East Region,A Level or Equivalent,90-100%,0-35,N,120,Graphic Design,3.1
331358,Michael Luna,F,South Region,HE Qualification,90-100%,35-55,N,60,Computer Science,3.63
332789,Matthew Fitzpatrick,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,60,Law,2.94
333059,Samantha Carlson,M,Scotland,A Level or Equivalent,20-30%,0-35,N,120,Computer Science,2.16
333323,Joann Reilly,M,Scotland,HE Qualification,80-90%,0-35,N,60,Medical,2.79
334259,Jacob Chavez,F,London Region,A Level or Equivalent,50-60%,0-35,N,150,Computer Science,2.8
334333,Bobby Johnson,F,South West Region,A Level or Equivalent,0-10%,0-35,Y,240,Engineering,2.63
335764,Nathan Jones,F,South East Region,A Level or Equivalent,20-30%,0-35,N,60,Medical,3.96
336207,Jay Robertson,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,N,120,Medical,2.57
339972,Mark Martinez,M,North Region,A Level or Equivalent,80-90%,0-35,N,60,Computer Science,2.87
341872,Miss Alexandra Juarez,M,East Anglian Region,Lower Than A Level,40-50%,0-35,N,180,Engineering,2.28
342007,Vanessa Anderson,F,West Midlands Region,HE Qualification,70-80%,0-35,N,60,Computer Science,2.63
342514,Kristi Martinez,M,Scotland,Lower Than A Level,50-60%,55<=,N,60,Computer Science,3.78
342972,Mark Jefferson,M,Yorkshire Region,HE Qualification,0-10%,0-35,N,60,Music,3.92
343446,Angela Morton,M,Ireland,HE Qualification,70-80%,35-55,N,120,Law,2.0
344282,Daniel Gardner,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,N,60,Fine Arts,3.61
345068,Tyrone Miller,M,East Anglian Region,A Level or Equivalent,60-70%,0-35,Y,180,Fine Arts,2.94
345357,Cody Owens,M,Yorkshire Region,A Level or Equivalent,30-40%,0-35,N,60,Law,2.86
346025,Eric Hill,M,East Anglian Region,A Level or Equivalent,50-60%,0-35,N,120,Engineering,2.87
346843,Amanda Perez,F,Scotland,HE Qualification,50-60%,35-55,N,120,Business,3.06
350188,Ralph Garcia,M,North Western Region,HE Qualification,80-90%,35-55,N,60,Medical,2.87
354858,Antonio Page,M,South Region,HE Qualification,90-100%,35-55,N,120,Computer Science,2.15
357668,Jose Buck,M,Yorkshire Region,A Level or Equivalent,10-20,0-35,N,60,Law,3.35
364177,Susan Kennedy,M,East Anglian Region,Lower Than A Level,70-80%,35-55,N,60,Computer Science,3.7
365244,Melinda Ellis,F,London Region,A Level or Equivalent,0-10%,0-35,N,120,Computer Science,3.57
365642,Evan Graham,M,East Anglian Region,Lower Than A Level,10-20,35-55,N,60,Fine Arts,2.97
366483,Zachary Francis,M,South West Region,HE Qualification,40-50%,0-35,N,60,Engineering,3.17
368194,Gary Glover,F,South West Region,A Level or Equivalent,50-60%,0-35,Y,120,Medical,3.39
368824,Kara Griffith,M,Wales,HE Qualification,50-60%,35-55,N,120,Medical,2.89
368963,Sandra Mccoy,M,Yorkshire Region,Lower Than A Level,0-10%,0-35,N,180,History,3.76
376439,Jean Clark,M,North Region,HE Qualification,,0-35,N,60,Engineering,3.74
376581,Nicholas Jackson,F,South Region,A Level or Equivalent,80-90%,35-55,N,60,Engineering,3.73
380953,James Pena,M,East Midlands Region,A Level or Equivalent,80-90%,0-35,N,60,Engineering,3.95
383254,Richard Mendez,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,N,120,Theater,3.17
386924,Richard Stewart,M,Ireland,Lower Than A Level,,0-35,N,120,Business,3.93
386952,Eddie Wood,M,Yorkshire Region,A Level or Equivalent,70-80%,0-35,N,120,Computer Science,2.47
388722,Melissa Nixon,F,London Region,Lower Than A Level,80-90%,35-55,N,60,Computer Science,3.41
388885,Jamie Williams,M,South West Region,A Level or Equivalent,90-100%,35-55,N,60,Medical,2.15
390890,Stephen Shannon,M,Scotland,A Level or Equivalent,0-10%,0-35,N,90,Law,2.8
392756,Jamie Blair,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,N,120,Law,3.71
392931,Felicia Vazquez,F,North Western Region,A Level or Equivalent,50-60%,35-55,N,120,Business,3.49
393207,Allison Lee,M,North Western Region,A Level or Equivalent,60-70%,0-35,N,60,Medical,2.55
396872,Melissa Wiggins,M,Yorkshire Region,HE Qualification,50-60%,0-35,N,180,Law,2.85
398552,Jennifer Moore,M,Yorkshire Region,Lower Than A Level,90-100%,0-35,N,240,Business,3.14
401869,Billy Bradley,F,South East Region,Lower Than A Level,80-90%,0-35,N,60,Business,3.89
402470,Melissa Miller,M,South West Region,Lower Than A Level,50-60%,35-55,N,60,Engineering,2.22
404804,Brian Brooks,M,Wales,Lower Than A Level,20-30%,35-55,N,120,Business,2.01
405088,Christopher Ramsey,M,North Region,A Level or Equivalent,20-30%,0-35,N,120,Medical,3.55
405961,Adam Simpson,M,Scotland,A Level or Equivalent,90-100%,0-35,Y,240,Business,2.99
414117,James Brown,M,Yorkshire Region,A Level or Equivalent,50-60%,0-35,N,120,Medical,2.61
415969,Craig Barr,M,West Midlands Region,HE Qualification,0-10%,35-55,N,90,Medical,2.9
420087,Jeffery Shaw,M,Scotland,A Level or Equivalent,40-50%,0-35,Y,60,Medical,2.6
429958,Mr. Christopher Williams DDS,F,North Western Region,A Level or Equivalent,70-80%,0-35,N,60,Music,3.83
441018,Emily Johnson,F,South East Region,A Level or Equivalent,70-80%,0-35,N,150,Engineering,3.65
441888,Leslie Porter,M,London Region,A Level or Equivalent,20-30%,0-35,N,120,Medical,2.51
442442,Michael Watson,M,South West Region,HE Qualification,80-90%,0-35,N,120,Engineering,3.45
444677,Mary Guzman,M,London Region,HE Qualification,30-40%,0-35,N,60,Fine Arts,3.85
470588,Jessica Patel,M,South East Region,HE Qualification,90-100%,35-55,N,60,Law,3.47
489455,Christopher Matthews,F,South West Region,A Level or Equivalent,20-30%,0-35,N,60,Medical,3.06
494424,Mrs. Alyssa Lowe,F,North Region,A Level or Equivalent,80-90%,0-35,N,60,Medical,3.84
495284,Anne Salazar,M,South East Region,HE Qualification,80-90%,0-35,N,120,Medical,2.4
498857,Kendra Brown,M,North Western Region,HE Qualification,80-90%,35-55,N,60,Medical,2.05
508818,Michael Walters,M,London Region,A Level or Equivalent,40-50%,0-35,N,120,Law,2.31
512460,Ashley Burch,M,South East Region,HE Qualification,90-100%,0-35,N,120,Medical,3.57
544103,Amy Singh,M,North Western Region,HE Qualification,40-50%,0-35,N,120,Philosophy,3.1
550383,Susan Young,M,South East Region,HE Qualification,60-70%,0-35,N,60,Medical,3.27
564450,Stacey Horton,M,West Midlands Region,HE Qualification,80-90%,0-35,N,120,Law,3.61
568601,Daniel Ryan,F,Scotland,HE Qualification,30-40%,0-35,N,60,Literature,4.0
572652,Bryan Rose,M,West Midlands Region,HE Qualification,70-80%,0-35,N,120,Law,3.32
580389,Jordan Lewis,M,Ireland,HE Qualification,90-100%,0-35,N,120,Law,2.31
581129,Matthew Richard,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,N,120,Medical,3.65
588775,Christy Fitzgerald DDS,M,South West Region,A Level or Equivalent,90-100%,0-35,N,120,Law,2.96
591774,Antonio Petersen,M,South Region,Post Graduate Qualification,90-100%,35-55,N,60,Engineering,3.19
603861,Michael Perez,M,North Region,HE Qualification,,55<=,N,60,Computer Science,3.14
606143,Dr. Jennifer Osborne,M,Scotland,Post Graduate Qualification,90-100%,35-55,N,60,Computer Science,3.0
704156,Yvonne Jenkins,M,South Region,HE Qualification,90-100%,55<=,N,120,Law,2.24
705379,Jason Gardner,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,N,120,Medical,2.7
721259,Taylor Perry,F,South Region,Lower Than A Level,50-60%,55<=,N,120,Computer Science,3.06
749412,Maria Phillips,M,South Region,Lower Than A Level,70-80%,55<=,N,60,Medical,3.8
760729,Kathleen Guzman,M,West Midlands Region,A Level or Equivalent,60-70%,55<=,N,60,Medical,3.85
905042,Matthew Lopez,F,East Anglian Region,A Level or Equivalent,90-100%,35-55,N,60,Law,3.53
949618,Mark Pratt,F,South West Region,A Level or Equivalent,50-60%,35-55,N,60,Medical,3.26
958987,Thomas Martinez MD,M,North Western Region,HE Qualification,40-50%,35-55,N,60,Theater,3.0
968578,Chase Washington,F,East Anglian Region,A Level or Equivalent,40-50%,35-55,N,60,Medical,2.2
969076,Douglas Perez,M,South West Region,A Level or Equivalent,80-90%,35-55,N,180,Engineering,2.54
971027,Ricky Rogers,F,West Midlands Region,HE Qualification,90-100%,35-55,N,60,Business,3.44
978739,Kenneth Salazar,M,South Region,HE Qualification,90-100%,35-55,N,60,Engineering,3.98
1035023,Bryan Perez,F,London Region,Lower Than A Level,30-40%,35-55,N,60,Computer Science,3.16
1105478,Gail Olson,M,Scotland,HE Qualification,80-90%,55<=,N,60,Graphic Design,3.44
1352868,Bruce Douglas,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,N,60,Music,3.78
1401935,Samuel Parks,M,West Midlands Region,A Level or Equivalent,70-80%,35-55,N,60,Literature,3.44
1402638,Taylor Barnes,F,East Midlands Region,HE Qualification,30-40%,35-55,N,60,Law,2.95
1414443,Joshua Clark,F,Yorkshire Region,A Level or Equivalent,10-20,35-55,N,120,Literature,2.8
1456619,Tamara Fritz,M,South West Region,A Level or Equivalent,90-100%,35-55,N,60,Business,3.75
1465690,Emily Walter,M,West Midlands Region,HE Qualification,40-50%,35-55,N,120,Theater,3.92
1472925,Kevin Ramos,F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y,60,Theater,3.48
1488959,Lauren Bonilla DDS,M,London Region,A Level or Equivalent,70-80%,35-55,N,60,Computer Science,2.95
1518989,Stephen Walker,F,South East Region,Lower Than A Level,80-90%,35-55,N,60,Business,2.83
1618738,Stanley Kim,M,London Region,Lower Than A Level,90-100%,35-55,N,60,Medical,3.42
1620151,Sandra Beltran,M,South Region,HE Qualification,90-100%,35-55,N,60,Literature,2.67
1626710,Michelle Mendoza,M,North Western Region,A Level or Equivalent,60-70%,35-55,N,60,Business,3.06
1640609,Brandi Miller,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,N,60,Law,3.34
1686521,Matthew Sawyer,F,North Western Region,Lower Than A Level,50-60%,35-55,N,60,Business,3.2
1729319,John Watkins,F,Scotland,HE Qualification,40-50%,35-55,N,60,Fine Arts,3.41
1746134,David Cline,M,East Anglian Region,A Level or Equivalent,60-70%,35-55,N,60,Medical,3.7
1758449,Cynthia Chapman,M,South Region,Lower Than A Level,30-40%,35-55,N,75,Computer Science,3.3
1763015,Monica Romero,F,Scotland,A Level or Equivalent,10-20,35-55,N,60,Medical,3.81
1765788,Austin Burke,M,South East Region,HE Qualification,70-80%,55<=,N,60,Business,3.18
1801229,Max Humphrey,M,Ireland,HE Qualification,,35-55,N,60,Engineering,3.98
1801641,Jeremy Newman,M,Scotland,A Level or Equivalent,30-40%,35-55,N,60,Engineering,2.96
1847830,Matthew Hansen,M,South West Region,Lower Than A Level,40-50%,35-55,N,60,Engineering,2.6
1860318,Jeffrey Edwards,M,South West Region,Lower Than A Level,40-50%,35-55,Y,300,Medical,3.73
1889511,Veronica Frank,M,Yorkshire Region,A Level or Equivalent,50-60%,35-55,N,60,Law,3.3
1889577,Alyssa Davis,F,South Region,A Level or Equivalent,70-80%,35-55,Y,60,Medical,3.56
1894188,Jacob Beck,F,East Midlands Region,A Level or Equivalent,80-90%,0-35,N,60,Law,3.62
1938355,Raymond Carter,M,South Region,A Level or Equivalent,90-100%,35-55,N,60,Business,2.02
1942396,Catherine Patterson,F,East Anglian Region,Lower Than A Level,40-50%,35-55,Y,120,Medical,2.5
1970390,Daryl Butler,M,West Midlands Region,Lower Than A Level,0-10%,35-55,N,60,Fine Arts,3.67
1976139,Kimberly Smith,M,Ireland,Lower Than A Level,50-60%,35-55,N,120,Business,3.28
2011876,David Perkins,F,East Anglian Region,A Level or Equivalent,90-100%,0-35,Y,60,Engineering,2.42
2012966,Lindsey Cummings,M,North Western Region,Lower Than A Level,30-40%,35-55,N,60,Music,3.11
2051699,Stacey Palmer,F,South West Region,Lower Than A Level,70-80%,35-55,N,60,Computer Science,2.52
2062879,Jacob Holder,F,East Anglian Region,A Level or Equivalent,60-70%,0-35,N,60,Business,2.02
2065691,Jasmine Stout,M,London Region,A Level or Equivalent,30-40%,35-55,Y,330,Law,3.95
2073016,Phillip Gill,F,London Region,Lower Than A Level,30-40%,35-55,N,60,Business,2.32
2080474,Martin Smith,F,South Region,A Level or Equivalent,90-100%,35-55,N,60,Engineering,3.17
2083877,Matthew Santiago,F,West Midlands Region,A Level or Equivalent,0-10%,0-35,N,120,Business,2.34
2084066,Christopher Hartman Jr.,F,South West Region,Lower Than A Level,50-60%,35-55,N,60,Law,3.73
